year,students,us_students,undergraduate,graduate,non_degree,opt
2000,547867,15312000,254429,238497,33883,21058
2001,582996,15928000,261079,264749,34423,22745
2002,586323,16612000,260103,267876,30551,27793
2003,572509,16911000,248200,274310,20659,29340
2004,565039,17272000,239212,264410,28418,32999
2005,564766,17487000,236342,259717,30611,38096
2006,582984,17672000,238050,264288,38986,41660
2007,623805,18248000,243360,276842,46837,56766
2008,671616,19103000,269874,283329,51812,66601
2009,690923,20428000,274431,293885,54803,67804
2010,723277,20550000,291439,296574,59233,76031
2011,764495,20625000,309342,300430,69566,85157
2012,819644,21253000,339993,311204,73528,94919
2013,886052,21216000,370724,329854,79477,105997
2014,974926,20300000,398824,362228,93587,120287
2015,1043839,20264000,427313,383935,85093,147498
2016,1078822,20185000,439019,391124,72984,175695
2017,1094792,19831000,442746,382953,65631,203462
2018,1095299,19828000,431930,377943,62341,223085
2019,1075496,19720000,419321,374435,58201,223539
2020,914095,19744000,359787,329272,21151,203885
2021,948519,20327000,344532,385097,34131,184759
2022,1057188,18961280,347602,467027,43766,198793
